350	0.362 
360	0.356 
370	0.355 
380	0.348 
390	0.344 
400	0.342 
410	0.340 
420	0.338 
430	0.336 
440	0.332 
450	0.330 
460	0.327 
470	0.324 
480	0.323 
490	0.321 
500	0.319 
510	0.316 
520	0.315 
530	0.313 
540	0.310 
550	0.309 
560	0.308 
570	0.305 
580	0.303 
590	0.302 
600	0.301 
610	0.298 
620	0.297 
630	0.296 
640	0.294 
650	0.293 
660	0.292 
670	0.291 
680	0.290 
690	0.290 
700	0.289 
710	0.286 
720	0.287 
730	0.287 
740	0.284 
750	0.283 
760	0.282 
770	0.282 
780	0.281 
790	0.279 
800	0.278 
810	0.276 
820	0.279 
830	0.273 
840	0.272 
850	0.274 
860	0.272 
870	0.271 
880	0.269 
890	0.267 
900	0.266 
910	0.264 
920	0.263 
930	0.261 
940	0.260 
950	0.258 
960	0.256 
970	0.255 
980	0.253 
990	0.252 
1000	0.251 
1020	0.248 
1040	0.245 
1060	0.243 
1080	0.240 
1100	0.238 
1120	0.236 
1140	0.234 
1160	0.231 
1180	0.229 
1200	0.227 
1220	0.225 
1240	0.224 
1260	0.222 
1280	0.219 
1300	0.218 
1320	0.217 
1340	0.215 
1360	0.213 
1380	0.212 
1400	0.211 
1420	0.209 
1440	0.208 
1460	0.207 
1480	0.205 
1500	0.203 
1520	0.202 
1540	0.201 
1560	0.200 
1580	0.199 
1600	0.197 
1620	0.196 
1640	0.195 
1660	0.194 
1680	0.193 
1700	0.192 
1720	0.191 
1740	0.190 
1760	0.189 
1780	0.188 
1800	0.187 
1820	0.186 
1840	0.185 
1860	0.184 
1880	0.183 
1900	0.182 
1920	0.181 
1940	0.180 
1960	0.180 
1980	0.179 
2000	0.179 
2020	0.178 
2040	0.176 
2060	0.175 
2080	0.175 
2100	0.175 
2120	0.174 
2140	0.174 
2160	0.172 
2180	0.171 
2200	0.170 
2220	0.169 
2240	0.168 
2260	0.168 
2280	0.167 
2300	0.166 
2320	0.166 
2340	0.166 
2360	0.165 
2380	0.164 
2400	0.165 
2420	0.163 
2440	0.162 
2460	0.161 
2480	0.163 
2500	0.163
