SerialNumber,T::TP1_TILT_400,T::TP1_TILT_410,T::TP1_TILT_420,T::TP1_TILT_450,T::TP1_TILT_500,T::TP1_TILT_550,T::TP1_TILT_600,T::TP1_TILT_650,T::TP1_TILT_700,T::TP1_TILT_750,T::TP1_TILT_800,T::TP1_TILT_850,T::TP1_TILT_900,T::TP1_TILT_950,T::TP1_TILT_1000,T::TP1_TILT_1050,T::TP1_TILT_1100,T::TP2_TILT_400,T::TP2_TILT_410,T::TP2_TILT_420,T::TP2_TILT_450,T::TP2_TILT_500,T::TP2_TILT_550,T::TP2_TILT_600,T::TP2_TILT_650,T::TP2_TILT_700,T::TP2_TILT_750,T::TP2_TILT_800,T::TP2_TILT_850,T::TP2_TILT_900,T::TP2_TILT_950,T::TP2_TILT_1000,T::TP2_TILT_1050,T::TP2_TILT_1100,T::TP3_TILT_400,T::TP3_TILT_410,T::TP3_TILT_420,T::TP3_TILT_450,T::TP3_TILT_500,T::TP3_TILT_550,T::TP3_TILT_600,T::TP3_TILT_650,T::TP3_TILT_700,T::TP3_TILT_750,T::TP3_TILT_800,T::TP3_TILT_850,T::TP3_TILT_900,T::TP3_TILT_950,T::TP3_TILT_1000,T::TP3_TILT_1050,T::TP3_TILT_1100
FXR648202Q4HL3K44+07001131808161077672809743,3.8797544,1,1,66.189641,83.1277047,100,116.9109808,133.7967636,154.9385131,174.4174348,193.4470276,213.8452729,233.6113342,257.4491365,277.642215,303.6934204,325.5938934,4.9671016,1,1,67.1149377,83.5067548,100,116.2540825,132.6817077,153.5126876,171.8607238,190.8355896,209.9320374,229.453888,252.3011641,271.9363893,296.5753694,318.2108489,5.0571984,1,1,66.9437423,83.5700623,100,116.2643257,132.861827,152.4322693,171.0714309,189.8341247,209.1974974,228.7884902,252.3443985,272.8234373,297.1550446,318.5547455
FXR648203X9HL3K4B+07001136839162075698813743,3.8166433,1,1,66.1584115,83.1053376,100,116.8537192,133.8104613,155.2056535,174.4099534,193.8309921,213.8953794,233.7797576,257.5402406,277.0573243,302.6302244,322.4301941,5.103459,1,1,67.3612618,83.6994735,100,116.1617966,132.3454818,153.3946868,171.5498245,190.1742569,208.9505326,228.3775101,250.7771851,269.3282868,293.1853455,312.9251402,5.0728121,1,1,67.3359902,83.8299493,100,116.4124398,132.6710572,152.6834763,170.8704163,189.7876999,208.9649643,228.5624803,251.4734587,271.298935,295.1534913,314.8729797
