SerialNumber,Test Pass/Fail Status,errCode,errStr,TesterID,config,StartTime,EndTime,TestTime,INIT::TSTR_SW,INIT::LIGHT_SOURCE,INIT::SPECTROMETER,INIT::CG_SN,UNIF::INT_AVG,UNIF::INT_PCT_MAX,UNIF::INT_PCT_MIN,UNIF::INT_DRK_PXL_CNT_PCT,UNIF::INT_HOT_PXL_CNT_PCT,UNIF::EXT_PCT_MAX,UNIF::EXT_PCT_MIN,UNIF::LF_INT_PCT_MAX,UNIF::LF_INT_PCT_MIN,UNIF::LF_INT_DRK_PXL_CNT_PCT,UNIF::LF_INT_HOT_PXL_CNT_PCT,UNIF::LF_EXT_PCT_MAX,UNIF::LF_EXT_PCT_MIN,UNIF::HF_INT_PCT_MAX,UNIF::HF_INT_PCT_MIN,UNIF::HF_INT_DRK_PXL_CNT_PCT,UNIF::HF_INT_HOT_PXL_CNT_PCT,UNIF::HF_EXT_PCT_MAX,UNIF::HF_EXT_PCT_MIN,T::TP1_XPOS,T::TP1_YPOS,T::TP1_APOS,T::TP1_T_PCT_400,T::TP1_T_PCT_410,T::TP1_T_PCT_420,T::TP1_T_PCT_450,T::TP1_T_PCT_500,T::TP1_T_PCT_550,T::TP1_T_PCT_600,T::TP1_T_PCT_650,T::TP1_T_PCT_700,T::TP1_T_PCT_750,T::TP1_T_PCT_800,T::TP1_T_PCT_850,T::TP1_T_PCT_900,T::TP1_T_PCT_950,T::TP1_T_PCT_1000,T::TP1_T_PCT_1050,T::TP1_T_PCT_1100,T::TP1_TILT_400,T::TP1_TILT_450,T::TP1_TILT_500,T::TP1_TILT_550,T::TP1_TILT_600,T::TP1_TILT_650,T::TP1_TILT_700,T::TP1_TILT_750,T::TP1_TILT_800,T::TP1_TILT_850,T::TP1_TILT_900,T::TP1_TILT_950,T::TP1_TILT_1000,T::TP1_TILT_1050,T::TP1_TILT_1100,T::TP2_XPOS,T::TP2_YPOS,T::TP2_APOS,T::TP2_T_PCT_400,T::TP2_T_PCT_410,T::TP2_T_PCT_420,T::TP2_T_PCT_450,T::TP2_T_PCT_500,T::TP2_T_PCT_550,T::TP2_T_PCT_600,T::TP2_T_PCT_650,T::TP2_T_PCT_700,T::TP2_T_PCT_750,T::TP2_T_PCT_800,T::TP2_T_PCT_850,T::TP2_T_PCT_900,T::TP2_T_PCT_950,T::TP2_T_PCT_1000,T::TP2_T_PCT_1050,T::TP2_T_PCT_1100,T::TP2_TILT_400,T::TP2_TILT_450,T::TP2_TILT_500,T::TP2_TILT_550,T::TP2_TILT_600,T::TP2_TILT_650,T::TP2_TILT_700,T::TP2_TILT_750,T::TP2_TILT_800,T::TP2_TILT_850,T::TP2_TILT_900,T::TP2_TILT_950,T::TP2_TILT_1000,T::TP2_TILT_1050,T::TP2_TILT_1100,T::TP3_XPOS,T::TP3_YPOS,T::TP3_APOS,T::TP3_T_PCT_410,T::TP3_T_PCT_420,T::TP3_T_PCT_400,T::TP3_T_PCT_450,T::TP3_T_PCT_500,T::TP3_T_PCT_550,T::TP3_T_PCT_600,T::TP3_T_PCT_650,T::TP3_T_PCT_700,T::TP3_T_PCT_750,T::TP3_T_PCT_800,T::TP3_T_PCT_850,T::TP3_T_PCT_900,T::TP3_T_PCT_950,T::TP3_T_PCT_1000,T::TP3_T_PCT_1050,T::TP3_T_PCT_1100,T::TP3_TILT_400,T::TP3_TILT_450,T::TP3_TILT_500,T::TP3_TILT_550,T::TP3_TILT_600,T::TP3_TILT_650,T::TP3_TILT_700,T::TP3_TILT_750,T::TP3_TILT_800,T::TP3_TILT_850,T::TP3_TILT_900,T::TP3_TILT_950,T::TP3_TILT_1000,T::TP3_TILT_1050,T::TP3_TILT_1100,T::TP4_XPOS,T::TP4_YPOS,T::TP4_APOS,T::TP4_T_PCT_410,T::TP4_T_PCT_420,T::TP4_T_PCT_400,T::TP4_T_PCT_450,T::TP4_T_PCT_500,T::TP4_T_PCT_550,T::TP4_T_PCT_600,T::TP4_T_PCT_650,T::TP4_T_PCT_700,T::TP4_T_PCT_750,T::TP4_T_PCT_800,T::TP4_T_PCT_850,T::TP4_T_PCT_900,T::TP4_T_PCT_950,T::TP4_T_PCT_1000,T::TP4_T_PCT_1050,T::TP4_T_PCT_1100,T::TP4_TILT_400,T::TP4_TILT_450,T::TP4_TILT_500,T::TP4_TILT_550,T::TP4_TILT_600,T::TP4_TILT_650,T::TP4_TILT_700,T::TP4_TILT_750,T::TP4_TILT_800,T::TP4_TILT_850,T::TP4_TILT_900,T::TP4_TILT_950,T::TP4_TILT_1000,T::TP4_TILT_1050,T::TP4_TILT_1100,T::TP5_XPOS,T::TP5_YPOS,T::TP5_APOS,T::TP5_T_PCT_410,T::TP5_T_PCT_420,T::TP5_T_PCT_400,T::TP5_T_PCT_450,T::TP5_T_PCT_500,T::TP5_T_PCT_550,T::TP5_T_PCT_600,T::TP5_T_PCT_650,T::TP5_T_PCT_700,T::TP5_T_PCT_750,T::TP5_T_PCT_800,T::TP5_T_PCT_850,T::TP5_T_PCT_900,T::TP5_T_PCT_950,T::TP5_T_PCT_1000,T::TP5_T_PCT_1050,T::TP5_T_PCT_1100,T::TP5_TILT_400,T::TP5_TILT_450,T::TP5_TILT_500,T::TP5_TILT_550,T::TP5_TILT_600,T::TP5_TILT_650,T::TP5_TILT_700,T::TP5_TILT_750,T::TP5_TILT_800,T::TP5_TILT_850,T::TP5_TILT_900,T::TP5_TILT_950,T::TP5_TILT_1000,T::TP5_TILT_1050,T::TP5_TILT_1100,T::T_PCT_STDEV_400,T::T_PCT_STDEV_450,T::T_PCT_STDEV_500,T::T_PCT_STDEV_550,T::T_PCT_STDEV_600,T::T_PCT_STDEV_650,T::T_PCT_STDEV_700,T::T_PCT_STDEV_750,T::T_PCT_STDEV_800,T::T_PCT_STDEV_850,T::T_PCT_STDEV_900,T::T_PCT_STDEV_950,T::T_PCT_STDEV_1000,T::T_PCT_STDEV_1050,T::T_PCT_STDEV_1100,POST::FDR_POST_RESULT,POST::FDR_POST_TIME,POST::FDR_CONFIRM_RESULT,POST::FDR_CONFIRM_TIME
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270590HL950W,PASS,0,,Machine04A_golden,,10/8/2016 18:11,10/8/2016 18:11,7.082,Version 16.8.10.12,LS,CAS140,20363270590HL9502112651124753158079639794743,194.01403,30.918367,-72.166961,24.844067,25.913324,30.918367,-93.299454,29.887514,-34.540816,23.896315,24.383961,26.794954,-72.682388,13.916519,-51.542664,1.103281,0.570271,13.916519,-51.542664,1256.82959,967.673523,-0.00308,1.46383,1.569549,1.688416,2.064167,2.774543,3.572301,4.052519,4.871749,5.865694,8.288261,10.798187,12.61551,14.894994,17.068098,18.745249,20.165884,21.136824,40.977238,57.782578,77.668221,100,113.442825,136.375656,164.199326,232.014648,302.275421,353.148041,416.958008,477.790009,524.73877,564.506836,591.686523,1256.82959,967.673523,-0.00308,1.491925,1.59966,1.720433,2.082291,2.800487,3.578575,4.073155,4.889676,5.878995,8.303567,10.872097,12.663776,14.90932,17.096657,18.776114,20.233253,20.975676,41.690468,58.187698,78.257034,100,113.820587,136.637512,164.283112,232.035538,303.81076,353.877594,416.627258,477.750336,524.681213,565.399719,586.145996,1256.82959,967.673523,-0.00308,1.554307,1.685636,1.430409,2.045568,2.733741,3.503107,3.992531,4.805132,5.778617,8.177399,10.672517,12.497483,14.743953,16.921539,18.534138,20.004047,20.850412,40.832581,58.392967,78.037605,100,113.971138,137.16774,164.956909,233.432739,304.65863,356.754272,420.882172,483.043762,529.077148,571.037354,595.197754,1256.82959,967.673523,-0.00308,1.599052,1.726088,1.483598,2.097661,2.804639,3.60019,4.077054,4.875275,5.875319,8.266311,10.806177,12.620271,14.879774,17.057203,18.760939,20.156221,21.193693,41.208874,58.265293,77.902527,100,113.245514,135.417145,163.194687,229.607605,300.155701,350.544525,413.305176,473.786163,521.109619,559.865417,588.682556,1256.82959,967.673523,-0.00308,1.494861,1.611884,1.388193,1.956156,2.616631,3.357585,3.820301,4.588738,5.528576,7.881919,10.357765,12.087382,14.346526,16.505823,18.117115,19.603481,20.390659,41.344971,58.260815,77.931938,100,113.781212,136.667816,164.659302,234.74968,308.488556,360.002289,427.287048,491.598083,539.587708,583.856567,607.301392,0.04263,0.055538,0.077635,0.099037,0.107641,0.125824,0.149413,0.175525,0.205184,0.237087,0.237673,0.246487,0.280467,0.2541,0.319964,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363271645HL9502,PASS,0,,Machine04A_golden,,10/8/2016 18:11,10/8/2016 18:12,7.047,Version 16.8.10.12,LS,CAS140,20363271645HL9502111651148802159080758798743,182.952953,36.100564,-63.378563,23.121912,28.268936,33.914209,-91.801171,31.181266,-43.701373,23.546375,25.466179,20.249494,-75.403513,14.757892,-36.074848,0.419603,0.129607,14.757892,-45.366855,1268.325317,964.301514,-0.004807,1.617939,1.776209,1.938995,2.326749,3.100193,3.936146,4.461141,5.331338,6.383805,8.939704,11.554514,13.408794,15.777694,17.960131,19.73061,21.114244,22.148867,41.10466,59.112366,78.762146,100,113.337776,135.445648,162.184143,227.118179,293.548889,340.657928,400.841125,456.287201,501.267181,536.419189,562.704346,1268.325317,964.301514,-0.004807,1.571665,1.700665,1.841427,2.227161,2.975249,3.781869,4.290148,5.149857,6.167155,8.683206,11.269646,13.111946,15.410619,17.582912,19.322121,20.73539,21.680681,41.557896,58.89048,78.671387,100,113.43988,136.172287,163.071625,229.600906,297.991455,346.705475,407.486877,464.926514,510.914612,548.28418,573.279541,1268.325317,964.301514,-0.004807,1.580271,1.73162,1.432068,2.108375,2.815133,3.59065,4.078677,4.892652,5.878536,8.319299,10.85642,12.650819,14.904275,17.073471,18.732874,20.174471,20.930346,39.88324,58.718483,78.401772,100,113.591599,136.26091,163.717865,231.69339,302.352478,352.326691,415.085693,475.498047,521.712585,561.861206,582.912476,1268.325317,964.301514,-0.004807,1.551076,1.68983,1.419515,2.044069,2.729414,3.488375,3.954974,4.764886,5.717972,8.09635,10.60905,12.36074,14.623304,16.783482,18.439114,19.910698,20.844894,40.69273,58.596588,78.243134,100,113.375832,136.593292,163.91507,232.095169,304.125824,354.340912,419.20105,481.126068,528.587463,570.772888,597.553162,1268.325317,964.301514,-0.004807,1.365323,1.50317,1.226889,1.830799,2.45805,3.149386,3.590758,4.340652,5.243855,7.516151,9.900314,11.601638,13.795217,15.910079,17.518076,18.929504,19.663248,38.956467,58.131927,78.048553,100,114.014557,137.825333,166.504059,238.65451,314.356995,368.377808,438.028809,505.18042,556.237915,601.053833,624.351807,0.153273,0.189061,0.245841,0.300457,0.33328,0.38065,0.437949,0.550394,0.638694,0.701642,0.762918,0.787816,0.851981,0.839242,0.946661,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270627HL9509,PASS,0,,Machine04A_golden,,10/8/2016 18:12,10/8/2016 18:12,7.092,Version 16.8.10.12,LS,CAS140,20363270627HL9502111651139786161079711806743,191.829567,32.409203,-47.870393,27.82341,26.015392,32.409203,-92.701855,31.887907,-30.146326,27.60956,25.031996,26.674946,-74.456492,14.074994,-50.565719,0.599433,0.662616,14.074994,-52.129607,1254.386108,977.747864,-0.004089,1.540702,1.719748,1.897665,2.317931,3.111272,3.978208,4.554335,5.432477,6.52677,9.135348,11.786226,13.66653,16.06497,18.263628,19.966236,21.501051,22.274738,38.72855,58.265697,78.20787,100,114.482071,136.555878,164.063065,229.634766,296.269714,343.53479,403.82428,459.091797,501.890198,540.470764,559.918884,1254.386108,977.747864,-0.004089,1.578903,1.714618,1.857939,2.27157,3.058926,3.899944,4.465152,5.346047,6.410205,9.002061,11.66597,13.506727,15.851517,18.04389,19.754814,21.246975,22.117414,40.485268,58.24622,78.435127,100,114.492706,137.080093,164.366592,230.825378,299.131714,346.331299,406.454956,462.670471,506.540924,544.802002,567.121277,1254.386108,977.747864,-0.004089,1.583461,1.733634,1.438848,2.133698,2.87668,3.686459,4.220413,5.059627,6.090434,8.601377,11.185938,13.043806,15.363085,17.523315,19.222469,20.688524,21.551363,39.030613,57.879341,78.033707,100,114.484192,137.248962,165.210953,233.323547,303.433136,353.830231,416.743713,475.342743,521.43457,561.203186,584.608765,1254.386108,977.747864,-0.004089,1.624582,1.766438,1.494165,2.152981,2.907533,3.728316,4.263944,5.108335,6.137992,8.653848,11.265549,13.149752,15.475805,17.63135,19.35486,20.811438,21.595312,40.076141,57.746731,77.985153,100,114.366493,137.014542,164.63176,232.11145,302.161865,352.699524,415.088379,472.90387,519.13147,558.199402,579.224304,1254.386108,977.747864,-0.004089,1.564111,1.702733,1.434261,2.088428,2.812055,3.609565,4.135981,4.942968,5.936834,8.439864,11.000439,12.823885,15.12973,17.229292,18.960178,20.397173,21.137484,39.734997,57.85817,77.90564,100,114.583923,136.940842,164.475052,233.819412,304.758026,355.275085,419.156586,477.323212,525.276001,565.086731,585.596436,0.063133,0.097255,0.126518,0.153412,0.175063,0.204392,0.241858,0.290769,0.332273,0.343818,0.377334,0.414156,0.406246,0.442391,0.460385,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363272052HL9505,PASS,0,,Machine04A_golden,,10/8/2016 18:12,10/8/2016 18:12,7.04,Version 16.8.10.12,LS,CAS140,20363272052HL9502112651140789158079716795743,194.22226,30.778007,-83.524031,24.348318,24.202511,30.778007,-91.762015,30.263133,-36.670493,24.084244,23.578777,27.688762,-69.107558,13.901599,-51.487404,0.944512,1.040097,13.901599,-51.487404,1276.642334,968.349243,-0.001914,1.494634,1.625471,1.769154,2.129016,2.843412,3.634181,4.119993,4.926891,5.933626,8.349719,10.872893,12.665966,14.947639,17.092661,18.81246,20.253473,20.985882,41.127106,58.583088,78.240791,100,113.367828,135.570847,163.272705,229.755142,299.184113,348.523224,411.306915,470.330444,517.653259,557.304932,577.458313,1276.642334,968.349243,-0.001914,1.549095,1.668954,1.798443,2.169694,2.888541,3.674626,4.184665,4.990407,5.990537,8.422697,11.009258,12.777174,15.068903,17.230486,18.979572,20.395302,21.034952,42.156548,59.045303,78.607758,100,113.880028,135.807205,163.024414,229.212372,299.602142,347.713623,410.079895,468.90448,516.50354,555.030701,572.437927,1276.642334,968.349243,-0.001914,1.607819,1.749653,1.466066,2.117831,2.808542,3.584535,4.063509,4.849351,5.83437,8.243269,10.767265,12.571059,14.807861,16.973803,18.652325,20.109381,20.948906,40.899757,59.082443,78.351639,100,113.362228,135.285355,162.76503,229.96759,300.381104,350.702637,413.104095,473.528717,520.355469,561.003906,584.424622,1276.642334,968.349243,-0.001914,1.631196,1.75336,1.520979,2.122191,2.80717,3.577154,4.047901,4.836949,5.816172,8.179184,10.708422,12.509797,14.772696,16.887402,18.609285,20.054731,20.8822,42.519253,59.326237,78.474945,100,113.159821,135.217804,162.592148,228.650589,299.355896,349.713654,412.973389,472.090393,520.226013,560.633728,583.765747,1276.642334,968.349243,-0.001914,1.557372,1.668729,1.459498,2.017598,2.671232,3.411123,3.866894,4.624736,5.5487,7.895103,10.379527,12.094592,14.3309,16.452076,18.092741,19.563591,20.333036,42.786438,59.147614,78.309471,100,113.36132,135.578094,162.664917,231.451706,304.284729,354.563354,420.12262,482.306732,530.404236,573.523499,596.080383,0.037591,0.05627,0.081176,0.100462,0.118881,0.138245,0.17008,0.203506,0.235352,0.260316,0.280148,0.295321,0.333566,0.315269,0.287183,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270590HL950W,PASS,0,,Machine04A_golden,,10/8/2016 18:13,10/8/2016 18:13,7.06,Version 16.8.10.12,LS,CAS140,20363270590HL9502112651124753158079639794743,193.624577,31.181694,-73.143905,25.216686,26.392872,31.181694,-92.769513,30.148767,-34.409153,24.200891,24.863506,26.533524,-73.143905,13.944511,-51.646336,1.09194,0.570271,13.944511,-51.646336,1257.516846,967.594604,-0.003036,1.404395,1.540879,1.684937,2.06513,2.757405,3.557232,4.066111,4.875536,5.87404,8.270831,10.798293,12.613848,14.899467,17.050068,18.748337,20.167524,20.991312,39.48,58.054386,77.515457,100,114.30545,137.059814,165.129501,232.507462,303.558838,354.597229,418.850006,479.307129,527.048401,566.944275,590.102356,1257.516846,967.594604,-0.003036,1.404368,1.552355,1.697561,2.081664,2.789885,3.577234,4.070919,4.905853,5.883957,8.295547,10.866386,12.643963,14.909174,17.082113,18.78153,20.258499,21.319908,39.258495,58.19199,77.990013,100,113.800743,137.140976,164.483444,231.898361,303.765045,353.456421,416.779419,477.52298,525.029419,566.317444,595.988647,1257.516846,967.594604,-0.003036,1.538501,1.675035,1.416118,2.044818,2.740241,3.506163,4.007258,4.798548,5.788544,8.176585,10.684676,12.530736,14.755836,16.889595,18.552425,20.013466,20.934978,40.389404,58.320671,78.154961,100,114.291847,136.860367,165.096252,233.206055,304.739868,357.391693,420.854248,481.711639,529.137573,570.808167,597.09082,1257.516846,967.594604,-0.003036,1.589516,1.72829,1.460465,2.098079,2.791192,3.588852,4.069212,4.873506,5.873422,8.253021,10.797839,12.627793,14.906528,17.034491,18.752045,20.182281,20.928627,40.694504,58.460999,77.773956,100,113.384781,135.79567,163.65741,229.962708,300.871674,351.861633,415.356445,474.650146,522.508179,562.360352,583.156616,1257.516846,967.594604,-0.003036,1.467247,1.607973,1.334993,1.956134,2.614297,3.3629,3.823284,4.599154,5.536677,7.880153,10.366591,12.119196,14.370065,16.494461,18.131651,19.644022,20.394583,39.697681,58.168064,77.739365,100,113.690102,136.761551,164.639969,234.326141,308.263489,360.379364,427.311768,490.483337,539.167175,584.139465,606.458252,0.044993,0.055627,0.072807,0.092551,0.106303,0.124601,0.147492,0.170836,0.19892,0.221202,0.231789,0.243838,0.273614,0.2454,0.332109,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363271645HL9502,PASS,0,,Machine04A_golden,,10/8/2016 18:13,10/8/2016 18:13,7.028,Version 16.8.10.12,LS,CAS140,20363271645HL9502111651148802159080758798743,182.403904,37.05847,-62.720096,23.617659,29.647631,34.3173,-91.776492,32.124365,-44.628378,24.085865,27.176994,20.063219,-76.425943,14.802315,-37.279904,0.442284,0.145808,14.802315,-43.85871,1232.039185,963.466736,-0.005385,1.612287,1.775094,1.941507,2.345725,3.11524,3.957656,4.502959,5.358718,6.416358,8.954505,11.593625,13.448155,15.805648,17.998358,19.746414,21.233988,21.973625,40.738445,59.270561,78.714279,100,113.77845,135.401337,162.125214,226.257797,292.941742,339.801056,399.368958,454.773193,498.9422,536.529419,555.218201,1232.039185,963.466736,-0.005385,1.490502,1.654608,1.819219,2.209208,2.936299,3.767619,4.263409,5.106661,6.119157,8.60412,11.219274,13.047752,15.339809,17.528715,19.21467,20.679255,21.712336,39.560852,58.636726,77.935127,100,113.159248,135.540802,162.414429,228.370239,297.781525,346.312958,407.148651,465.24649,509.995087,548.867981,576.287964,1232.039185,963.466736,-0.005385,1.594579,1.729568,1.46505,2.094937,2.800609,3.587488,4.077791,4.878143,5.865448,8.281623,10.826711,12.666363,14.896376,17.044836,18.722002,20.220337,20.99815,40.837757,58.395653,78.066032,100,113.667038,135.976578,163.49736,230.847427,301.790894,353.070557,415.231415,475.119019,521.869446,563.63501,585.316284,1232.039185,963.466736,-0.005385,1.550017,1.692501,1.414016,2.056229,2.738832,3.500157,3.988468,4.768668,5.73872,8.101995,10.630167,12.422821,14.676555,16.803879,18.511507,19.978052,20.702818,40.398659,58.746765,78.248817,100,113.951126,136.241547,163.95607,231.475159,303.705444,354.921814,419.31134,480.089294,528.876465,570.775879,591.482544,1232.039185,963.466736,-0.005385,1.409862,1.547884,1.27641,1.886223,2.521468,3.237369,3.675315,4.434433,5.341744,7.646401,10.078275,11.794634,14.00305,16.109282,17.748592,19.225746,20.07329,39.427372,58.264076,77.886322,100,113.527855,136.97644,165.002655,236.191849,311.310669,364.327789,432.544189,497.604126,548.241272,593.869507,620.0495,0.122085,0.171934,0.221781,0.27255,0.309175,0.34899,0.404178,0.496495,0.577028,0.627579,0.681594,0.718167,0.75196,0.754138,0.768134,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270627HL9509,PASS,0,,Machine04A_golden,,10/8/2016 18:13,10/8/2016 18:13,7.074,Version 16.8.10.12,LS,CAS140,20363270627HL9502111651139786161079711806743,191.812734,32.420823,-48.908502,27.902794,26.90806,32.420823,-92.179873,31.899481,-30.140196,27.66464,25.696234,25.643379,-72.890225,14.076229,-50.570157,0.617254,0.635075,14.076229,-52.134182,1252.249268,976.518311,-0.004157,1.559915,1.724786,1.897616,2.317299,3.10305,4.003593,4.528822,5.427117,6.52157,9.1229,11.764444,13.654432,16.035156,18.239075,19.983734,21.482244,22.325979,38.962875,57.880474,77.506645,100,113.11895,135.556168,162.892944,227.867813,293.847168,341.054474,400.519135,455.567657,499.144989,536.574097,557.64856,1252.249268,976.518311,-0.004157,1.541503,1.70014,1.863138,2.272772,3.051725,3.9217,4.457347,5.343784,6.4048,9.001636,11.656859,13.51542,15.845677,18.053989,19.791143,21.228689,21.980421,39.307011,57.953747,77.816391,100,113.658539,136.261932,163.316925,229.534012,297.23996,344.631683,404.05127,460.361298,504.657257,541.313477,560.481995,1252.249268,976.518311,-0.004157,1.584952,1.746558,1.431963,2.133351,2.863564,3.70319,4.203463,5.058077,6.093287,8.602262,11.19088,13.078761,15.342516,17.483475,19.212414,20.701414,21.546236,38.668373,57.608467,77.326958,100,113.509224,136.587021,164.54158,232.293289,302.195679,353.175507,414.305389,472.119293,518.807129,559.015686,581.829102,1252.249268,976.518311,-0.004157,1.597288,1.759888,1.440166,2.153205,2.897328,3.73209,4.246066,5.101562,6.131243,8.640325,11.260508,13.156269,15.461334,17.584257,19.400198,20.764214,21.658703,38.588722,57.694347,77.632843,100,113.771782,136.694504,164.284409,231.514328,301.721191,352.517426,414.280792,471.163757,519.821228,556.369507,580.337036,1252.249268,976.518311,-0.004157,1.547336,1.707264,1.390925,2.093807,2.800287,3.609956,4.113015,4.950081,5.936082,8.42909,11.01425,12.822355,15.120937,17.242922,18.936441,20.392687,21.230854,38.530258,58.000893,77.571228,100,113.935341,137.123032,164.436417,233.495636,305.107605,355.194244,418.867676,477.649109,524.561584,564.901306,588.119507,0.073731,0.095902,0.128647,0.162932,0.175951,0.201058,0.239586,0.291027,0.319465,0.337231,0.373225,0.413207,0.425096,0.43627,0.419583,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
